State,County,Year,LabourForce,Employed,Unemployed
Kentucky,Caldwell,2016,5354,5061,293
Missouri,Caldwell,2016,4481,4270,211
North Carolina,Caldwell,2016,35899,34039,1860
Texas,Caldwell,2016,17936,17161,775
Louisiana,Caldwell Parish,2016,3982,3678,304
Vermont,Caledonia,2016,14901,14284,617
Alabama,Calhoun,2016,46013,43016,2997
Arkansas,Calhoun,2016,2389,2279,110
Florida,Calhoun,2016,4976,4692,284
Georgia,Calhoun,2016,2160,2038,122
Iowa,Calhoun,2016,4509,4339,170
Illinois,Calhoun,2016,2374,2227,147
Michigan,Calhoun,2016,64390,61295,3095
Mississippi,Calhoun,2016,6189,5859,330
South Carolina,Calhoun,2016,6913,6484,429
Texas,Calhoun,2016,10771,10171,600
West Virginia,Calhoun,2016,2621,2284,337
Texas,Callahan,2016,5804,5557,247
Missouri,Callaway,2016,21860,20962,898
Kentucky,Calloway,2016,18688,17837,851
Wisconsin,Calumet,2016,27761,26871,890
Maryland,Calvert,2016,48896,46998,1898
Idaho,Camas,2016,659,635,24
Pennsylvania,Cambria,2016,61318,57163,4155
Georgia,Camden,2016,20318,19149,1169
Missouri,Camden,2016,18751,17664,1087
North Carolina,Camden,2016,4659,4419,240
New Jersey,Camden,2016,252368,238479,13889
Pennsylvania,Cameron,2016,2231,2067,164
Texas,Cameron,2016,165955,154064,11891
Louisiana,Cameron Parish,2016,3817,3650,167
Texas,Camp,2016,5059,4714,345
Kentucky,Campbell,2016,48706,46831,1875
South Dakota,Campbell,2016,850,825,25
Tennessee,Campbell,2016,14680,13667,1013
Virginia,Campbell,2016,25906,24746,1160
Wyoming,Campbell,2016,24396,22635,1761
Puerto Rico,Camuy Municipio,2016,9505,8330,1175
Oklahoma,Canadian,2016,69467,66703,2764
Georgia,Candler,2016,5063,4821,242
Tennessee,Cannon,2016,5999,5722,277
Puerto Rico,Canovanas Municipio,2016,16274,14404,1870
Idaho,Canyon,2016,93783,89703,4080
Missouri,Cape Girardeau,2016,40824,39053,1771
New Jersey,Cape May,2016,46601,42016,4585
Montana,Carbon,2016,5426,5212,214
Pennsylvania,Carbon,2016,31552,29674,1878
Utah,Carbon,2016,8334,7838,496
Wyoming,Carbon,2016,8358,7965,393
Idaho,Caribou,2016,3801,3664,137
Kentucky,Carlisle,2016,2564,2397,167
Minnesota,Carlton,2016,17800,16859,941
Puerto Rico,Carolina Municipio,2016,62164,56791,5373
Maryland,Caroline,2016,17704,16855,849
Virginia,Caroline,2016,14839,14170,669
Arkansas,Carroll,2016,12850,12393,457
Georgia,Carroll,2016,53456,50247,3209
Iowa,Carroll,2016,11247,10958,289
Illinois,Carroll,2016,7865,7420,445
Indiana,Carroll,2016,10108,9679,429
Kentucky,Carroll,2016,5182,4924,258
Maryland,Carroll,2016,93288,89884,3404
Missouri,Carroll,2016,4776,4519,257
Mississippi,Carroll,2016,3566,3308,258
New Hampshire,Carroll,2016,23672,22974,698
Ohio,Carroll,2016,13432,12508,924
Tennessee,Carroll,2016,11979,11176,803
Virginia,Carroll,2016,12946,12274,672
Texas,Carson,2016,3096,2995,101
Nevada,Carson City,2016,24721,23222,1499
Kentucky,Carter,2016,9943,8888,1055
Missouri,Carter,2016,2547,2366,181
Montana,Carter,2016,697,678,19
Oklahoma,Carter,2016,22738,21563,1175
Tennessee,Carter,2016,23584,22255,1329
North Carolina,Carteret,2016,31574,29947,1627
Minnesota,Carver,2016,56518,54657,1861
Montana,Cascade,2016,37838,36336,1502
Kentucky,Casey,2016,6689,6363,326
Iowa,Cass,2016,7244,7007,237
Illinois,Cass,2016,6213,5866,347
Indiana,Cass,2016,18047,17209,838
Michigan,Cass,2016,24334,23194,1140
Minnesota,Cass,2016,14203,13237,966
Missouri,Cass,2016,54599,52331,2268
North Dakota,Cass,2016,100165,97926,2239
Nebraska,Cass,2016,13128,12687,441
Texas,Cass,2016,12264,11384,880
Idaho,Cassia,2016,11610,11265,345
Texas,Castro,2016,3494,3387,107
North Carolina,Caswell,2016,9690,9164,526
Louisiana,Catahoula Parish,2016,3423,3105,318
Puerto Rico,Catano Municipio,2016,7912,7119,793
North Carolina,Catawba,2016,76890,73255,3635
Georgia,Catoosa,2016,32121,30569,1552
New Mexico,Catron,2016,1204,1108,96
New York,Cattaraugus,2016,34849,32768,2081
North Dakota,Cavalier,2016,2115,2059,56
Puerto Rico,Cayey Municipio,2016,16220,14480,1740
New York,Cayuga,2016,36691,34836,1855
Maryland,Cecil,2016,52752,49984,2768
Iowa,Cedar,2016,10828,10468,360
Missouri,Cedar,2016,5806,5516,290
Nebraska,Cedar,2016,4564,4448,116
Puerto Rico,Ceiba Municipio,2016,3798,3301,497
Pennsylvania,Centre,2016,78909,75622,3287
Iowa,Cerro Gordo,2016,23053,22224,829
Colorado,Chaffee,2016,8834,8600,234
Alabama,Chambers,2016,15043,14225,818
Texas,Chambers,2016,18204,17098,1106
Illinois,Champaign,2016,107398,102018,5380
Ohio,Champaign,2016,19874,18974,900
Missouri,Chariton,2016,3862,3694,168
Maryland,Charles,2016,84078,80496,3582
Virginia,Charles City,2016,3716,3545,171
South Dakota,Charles Mix,2016,3888,3764,124
South Carolina,Charleston,2016,202083,193793,8290
Michigan,Charlevoix,2016,13053,12330,723
Florida,Charlotte,2016,69161,65493,3668
Virginia,Charlotte,2016,5246,4981,265
Virginia,Charlottesville city,2016,24844,23997,847
Georgia,Charlton,2016,4733,4466,267
Kansas,Chase,2016,1405,1356,49
Nebraska,Chase,2016,2289,2242,47
Georgia,Chatham,2016,135862,128743,7119
North Carolina,Chatham,2016,34527,33065,1462
Georgia,Chattahoochee,2016,2055,1885,170
Georgia,Chattooga,2016,10419,9762,657
Kansas,Chautauqua,2016,1539,1459,80
New York,Chautauqua,2016,56113,52857,3256
New Mexico,Chaves,2016,28031,26172,1859
Tennessee,Cheatham,2016,20188,19387,801
Michigan,Cheboygan,2016,10813,9795,1018
Washington,Chelan,2016,43215,40734,2481
New York,Chemung,2016,36202,34131,2071
New York,Chenango,2016,22829,21673,1156
