SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,24,29,Maryland,Kent County,2016,19666,9377,10289,7651,8322,1404,1612,32,21,114,134,6,5,170,195,7810,8495,1514,1739,64,64,147,168,17,22,8892,9908,7265,8031,1351,1561,13,12,106,123,4,2,153,179,7407,8189,1451,1679,41,48,137,157,14,18,485,381,386,291,53,51,19,9,8,11,2,3,17,16,403,306,63,60,23,16,10,11,3,4
50,24,31,Maryland,Montgomery County,2016,1038846,501689,537157,312085,323487,93586,107463,3916,3626,74578,84141,536,523,16988,17917,326991,338923,101467,116372,7527,7579,83117,92787,1289,1405,400590,438264,225760,239679,86847,100109,817,931,73406,82902,226,247,13534,14396,237580,251968,92875,107047,3124,3602,80846,90443,821,956,101099,98893,86325,83808,6739,7354,3099,2695,1172,1239,310,276,3454,3521,89411,86955,8592,9325,4403,3977,2271,2344,468,449
50,24,33,Maryland,Prince George's County,2016,908501,437389,471112,126804,115412,273244,316570,5422,4753,19581,20867,875,841,11463,12669,135321,124484,281782,326418,9664,9720,22784,24286,1370,1445,350001,395999,59629,59423,262058,305373,1094,1183,18676,20066,163,246,8381,9708,65615,66066,268317,312948,3863,4755,21266,22896,550,725,87388,75113,67175,55989,11186,11197,4328,3570,905,801,712,595,3082,2961,69706,58418,13465,13470,5801,4965,1518,1390,820,720
50,24,35,Maryland,Queen Anne's County,2016,49063,24389,24674,21919,22182,1628,1574,112,103,257,323,18,21,455,471,22344,22618,1862,1819,221,217,391,464,35,49,23420,23821,21118,21468,1570,1531,60,62,234,311,8,6,430,443,21523,21877,1789,1762,159,162,365,450,22,34,969,853,801,714,58,43,52,41,23,12,10,15,25,28,821,741,73,57,62,55,26,14,13,15
50,24,37,Maryland,St. Mary's County,2016,111750,55875,55875,44565,43701,7896,8191,239,240,1358,1749,45,55,1772,1939,46182,45457,8902,9342,609,637,1962,2401,124,159,53011,53233,42224,41564,7668,7984,170,172,1321,1720,28,45,1600,1748,43686,43145,8573,9025,471,491,1887,2338,101,139,2864,2642,2341,2137,228,207,69,68,37,29,17,10,172,191,2496,2312,329,317,138,146,75,63,23,20
50,24,39,Maryland,Somerset County,2016,25839,13891,11948,7159,6807,6242,4674,75,41,103,115,9,6,303,305,7410,7063,6438,4892,175,124,171,164,37,24,13457,11512,6862,6491,6164,4598,59,38,99,113,4,3,269,269,7081,6716,6341,4798,144,104,159,156,30,19,434,436,297,316,78,76,16,3,4,2,5,3,34,36,329,347,97,94,31,20,12,8,7,5
50,24,41,Maryland,Talbot County,2016,37135,17555,19580,14685,16318,2232,2576,67,69,229,288,33,31,309,298,14962,16590,2416,2764,152,141,283,341,58,49,16349,18372,13688,15321,2136,2502,32,29,211,264,9,9,273,247,13932,15545,2298,2661,105,82,260,311,30,26,1206,1208,997,997,96,74,35,40,18,24,24,22,36,51,1030,1045,118,103,47,59,23,30,28,23
50,24,43,Maryland,Washington County,2016,149602,76124,73478,61564,63331,10856,6325,246,212,1332,1454,64,59,2062,2097,63501,65298,12275,7818,649,578,1695,1821,129,136,72354,70141,58556,60697,10479,5965,131,130,1293,1416,45,45,1850,1888,60293,62466,11758,7322,459,436,1638,1762,106,113,3770,3337,3008,2634,377,360,115,82,39,38,19,14,212,209,3208,2832,517,496,190,142,57,59,23,23
50,24,45,Maryland,Wicomico County,2016,102041,48488,53553,32801,35934,12739,14346,199,155,1432,1657,83,50,1234,1411,33915,37194,13575,15307,446,423,1702,1977,138,120,45830,51079,30770,34016,12445,14027,97,116,1407,1637,13,12,1098,1271,31759,35150,13189,14906,299,339,1658,1936,65,69,2658,2474,2031,1918,294,319,102,39,25,20,70,38,136,140,2156,2044,386,401,147,84,44,41,73,51
50,24,47,Maryland,Worcester County,2016,51475,25064,26411,20882,21870,3243,3613,89,97,359,360,13,9,478,462,21321,22270,3536,3916,195,211,462,458,37,43,24137,25601,20082,21207,3184,3564,71,67,355,356,12,5,433,402,20479,21556,3452,3831,159,152,451,446,34,35,927,810,800,663,59,49,18,30,4,4,1,4,45,60,842,714,84,85,36,59,11,12,3,8
50,24,510,Maryland,Baltimore city,2016,616226,289591,326635,95817,97261,178277,212497,1380,1387,7992,8436,285,204,5840,6850,100375,102444,182039,217156,3356,3859,9688,10376,558,507,273136,311620,83822,86547,175608,209785,848,925,7777,8259,111,98,4970,6006,87638,91025,178854,213915,2406,2993,9328,10035,335,353,16455,15015,11995,10714,2669,2712,532,462,215,177,174,106,870,844,12737,11419,3185,3241,950,866,360,341,223,154
50,25,1,Massachusetts,Barnstable County,2016,213559,102102,111457,94273,104002,3481,3030,860,763,1476,1639,68,56,1944,1967,96036,105757,4462,4036,1462,1411,2024,2184,162,162,98840,108457,91717,101551,3220,2809,724,638,1368,1615,45,40,1766,1804,93311,103163,4075,3699,1283,1243,1893,2135,131,132,3262,3000,2556,2451,261,221,136,125,108,24,23,16,178,163,2725,2594,387,337,179,168,131,49,31,30
50,25,3,Massachusetts,Berkshire County,2016,127067,61326,65741,56601,60869,2191,2035,211,176,862,1128,27,33,1434,1500,57949,62264,3046,2928,537,522,1209,1485,85,91,58437,62907,54260,58563,1955,1808,115,101,850,1108,13,20,1244,1307,55428,59785,2665,2557,398,405,1186,1438,64,69,2889,2834,2341,2306,236,227,96,75,12,20,14,13,190,193,2521,2479,381,371,139,117,23,47,21,22
50,25,5,Massachusetts,Bristol County,2016,558070,270270,287800,241734,258712,14436,14265,1858,1533,5852,6920,336,320,6054,6050,247284,264224,18077,17911,3421,3185,7292,8322,717,704,248832,266556,225643,242519,11795,11571,659,648,5683,6746,160,133,4892,4939,230135,247017,14568,14379,1889,1977,7020,8041,465,448,21438,21244,16091,16193,2641,2694,1199,885,169,174,176,187,1162,1111,17149,17207,3509,3532,1532,1208,272,281,252,256
50,25,7,Massachusetts,Dukes County,2016,17315,8475,8840,7652,8012,385,353,123,102,53,93,6,5,256,275,7855,8254,520,496,225,206,106,144,33,30,8156,8538,7395,7784,352,328,116,95,51,89,4,1,238,241,7584,7994,475,447,210,192,102,134,29,25,319,302,257,228,33,25,7,7,2,4,2,4,18,34,271,260,45,49,15,14,4,10,4,5
50,25,9,Massachusetts,Essex County,2016,779847,375756,404091,322017,348771,26023,26025,3350,3182,13827,15473,563,628,9976,10012,331386,358167,32726,32845,5760,5564,15825,17465,989,1030,298156,324113,266424,291006,12828,12455,504,479,13189,14774,105,117,5106,5282,271216,295955,15779,15558,1625,1656,14719,16314,315,334,77600,79978,55593,57765,13195,13570,2846,2703,638,699,458,511,4870,4730,60170,62212,16947,17287,4135,3908,1106,1151,674,696
50,25,11,Massachusetts,Franklin County,2016,70622,34457,36165,32398,34141,620,448,134,170,537,610,35,37,733,759,33054,34830,935,758,398,449,745,823,80,87,32950,34937,31185,33150,517,373,90,128,531,596,24,26,603,664,31726,33753,761,626,310,375,720,797,57,69,1507,1228,1213,991,103,75,44,42,6,14,11,11,130,95,1328,1077,174,132,88,74,25,26,23,18
50,25,13,Massachusetts,Hampden County,2016,467778,225852,241926,188384,201201,24003,25923,1693,1833,5583,6349,392,412,5797,6208,193598,206756,28060,30331,3483,3814,6540,7339,659,662,170932,182356,144053,153533,17532,18554,380,354,5311,5984,73,74,3583,3857,147257,156940,19829,21061,1437,1553,6111,6820,246,244,54920,59570,44331,47668,6471,7369,1313,1479,272,365,319,338,2214,2351,46341,49816,8231,9270,2046,2261,429,519,413,418
50,25,15,Massachusetts,Hampshire County,2016,161404,75396,86008,66920,75828,2586,2703,232,224,3807,5149,54,56,1797,2048,68548,77686,3393,3597,653,654,4573,6096,158,177,71190,81308,63585,72069,2205,2283,125,111,3755,5081,32,37,1488,1727,64949,73637,2812,2966,454,457,4462,5962,106,130,4206,4700,3335,3759,381,420,107,113,52,68,22,19,309,321,3599,4049,581,631,199,197,111,134,52,47
