FIPS,DeathAssault,DeathSuicide
17087,Suppressed,19
17089,267,673
17091,114,184
17093,38,143
17095,22,132
17097,318,1069
17099,36,249
17101,Suppressed,39
17103,12,85
17105,16,74
17107,11,55
17109,Suppressed,58
17111,65,501
17113,51,295
17115,119,215
17117,27,106
17119,199,612
17121,23,132
17123,Suppressed,29
17125,Suppressed,51
17127,12,48
17129,Suppressed,23
17131,Suppressed,30
17133,14,56
17135,11,93
17137,15,65
17139,Suppressed,35
17141,27,114
17143,264,364
17145,Suppressed,55
17147,Suppressed,22
17149,Suppressed,33
17151,Suppressed,11
17153,Suppressed,15
17155,Suppressed,19
17157,19,81
17159,Suppressed,33
17161,88,335
17163,666,510
17165,13,73
17167,196,414
17169,Suppressed,21
17171,Suppressed,13
17173,Suppressed,38
17175,Suppressed,17
17177,23,85
17179,57,292
17181,Suppressed,37
17183,90,177
17185,Suppressed,20
17187,Suppressed,43
17189,Suppressed,38
17191,Suppressed,48
17193,Suppressed,41
17195,19,129
17197,380,1001
17199,43,182
17201,352,579
17203,Suppressed,94
18001,Suppressed,49
18003,448,706
18005,28,175
18007,Suppressed,26
18009,Suppressed,32
18011,21,133
18013,Suppressed,46
18015,11,40
18017,17,91
18019,63,272
18021,Suppressed,77
18023,17,88
18025,Suppressed,31
18027,14,52
18029,17,118
18031,16,55
18033,15,109
18035,73,274
18037,Suppressed,107
18039,153,318
18041,Suppressed,72
18043,46,177
18045,Suppressed,49
18047,14,55
18049,Suppressed,48
18051,17,102
18053,40,172
18055,22,81
18057,48,400
18059,20,163
18061,19,85
18063,31,273
18065,27,134
18067,69,186
18069,10,70
18071,17,88
18073,13,69
18075,Suppressed,52
18077,Suppressed,109
18079,15,88
18081,51,261
18083,16,113
18085,25,150
18087,Suppressed,54
18089,1568,1014
18091,91,276
18093,25,110
18095,82,391
18097,2184,2161
18099,20,106
18101,Suppressed,29
18103,10,64
18105,57,271
18107,17,107
18109,32,193
18111,Suppressed,43
18113,Suppressed,100
18115,Suppressed,13
18117,13,61
18119,18,63
18121,Suppressed,60
18123,10,56
18125,Suppressed,40
18127,65,401
18129,12,78
18131,Suppressed,29
18133,19,103
18135,10,56
18137,Suppressed,53
18139,Suppressed,43
18141,321,590
18143,24,72
18145,18,120
18147,15,45
18149,15,71
18151,18,62
18153,14,83
18155,Suppressed,30
18157,63,290
18159,Suppressed,25
18161,Suppressed,14
18163,135,574
18165,Suppressed,48
18167,92,342
18169,Suppressed,62
18171,Suppressed,18
18173,18,126
18175,13,84
18177,42,169
18179,10,46
18181,Suppressed,53
18183,Suppressed,68
19001,Suppressed,22
19003,Suppressed,Suppressed
19005,Suppressed,37
19007,Suppressed,37
19009,Suppressed,21
19011,Suppressed,45
19013,66,229
19015,Suppressed,55
19017,Suppressed,45
19019,Suppressed,44
19021,Suppressed,31
19023,Suppressed,27
19025,Suppressed,19
19027,Suppressed,46
19029,Suppressed,43
19031,Suppressed,35
19033,20,114
19035,Suppressed,24
19037,Suppressed,30
19039,Suppressed,19
19041,Suppressed,43
19043,Suppressed,41
19045,11,134
19047,Suppressed,32
19049,13,105
19051,Suppressed,23
19053,Suppressed,17
19055,Suppressed,27
19057,26,106
19059,Suppressed,37
19061,22,195
19063,Suppressed,19
19065,Suppressed,56
19067,Suppressed,38
19069,Suppressed,23
19071,Suppressed,13
19073,Suppressed,26
19075,Suppressed,19
19077,Suppressed,34
19079,Suppressed,24
19081,Suppressed,26
19083,Suppressed,39
19085,Suppressed,35
19087,Suppressed,40
19089,Suppressed,19
19091,Suppressed,27
19093,Suppressed,10
19095,Suppressed,42
19097,Suppressed,61
19099,Suppressed,82
